lot,libelle,agent,prevu_initial_minutes,prevu_revise_minutes,reel_minutes,ecart_minutes,jetons,temps_complet,jetons_complets,couts_ia,reserves
N17,Correction et reprise N-17 — travail restant,odoo-developer,8.333333333333334,8.333333333333334,,,,False,False,[],Aucune mesure importée pour cette ligne.
N17,Correction et reprise N-17 — travail restant,odoo-tester,7.333333333333333,7.333333333333333,,,,False,False,[],Aucune mesure importée pour cette ligne.
N17,Correction et reprise N-17 — travail restant,orchestrateur,4.166666666666667,4.166666666666667,,,,False,False,[],Aucune mesure importée pour cette ligne.
